ISO_A2,model,median_BOC,median_EOC,rel_change_%,p_shapiro_BOC,p_shapiro_EOC,p_ttest,signif_ttest
LT,MRI-ESM2-0,6836.869474099549,7113.954445620129,4.052804760574634,0.6233591984668048,0.05410521999103348,0.0015994476512516504,True
LU,ACCESS-CM2,292.3351669138488,329.07918613402126,12.569140965171977,0.26308499335817637,0.7912998307752775,1.1023246074066519e-12,True
LU,CanESM5,321.81917049955484,341.40552681470314,6.086137219465422,0.5511286993509965,0.8311913029740106,0.0002925403842645425,True
LU,CMCC-CM2-SR5,209.13021313811439,226.21791960214995,8.170845430521535,0.2658959194211257,0.9253552605199067,2.526243703163554e-07,True
LU,CMCC-ESM2,207.08012361252014,222.05655411174268,7.2321912108019735,0.33332006601788106,0.04869768236335468,1.5252720350234795e-05,True
LU,HadGEM3-GC31-LL,292.6298966001487,326.58379889190724,11.60301892808764,0.3962386564056081,0.12335514856960184,3.000246893179769e-18,True
LU,HadGEM3-GC31-MM,282.587489806322,309.667474491187,9.582867487667235,0.5954450252769856,6.7472721038804e-05,3.9549484965200377e-14,True
LU,MRI-ESM2-0,259.3369207130307,280.1939027146458,8.042426795332549,0.9199728809391517,0.8772142470018596,3.555483329851517e-08,True
MT,ACCESS-CM2,43.49077314968452,44.76629136830638,2.932847880702977,0.20094356989053114,0.9199287170471905,7.79559795469171e-12,True
MT,CanESM5,43.353659945530815,44.71766429027291,3.1462265157216627,0.8266293908958655,0.17574707960101227,1.0345301505203432e-08,True
MT,CMCC-CM2-SR5,35.27607939195119,36.00079282329112,2.0544046952827864,0.6879422147529852,0.10880578299497551,0.0022848958758428218,True
MT,CMCC-ESM2,35.74897559855185,36.38888936304934,1.7900198642990146,0.03464259634526339,0.6482698101315945,7.681541029402323e-05,True
MT,HadGEM3-GC31-LL,43.566522801841,44.06724445819679,1.1493266484297595,0.2140974519142002,0.2827970891397238,0.00021354028637640953,True
MT,HadGEM3-GC31-MM,43.34041362446606,44.083591656261234,1.7147460525749207,0.6085677774323954,0.0454503618456211,0.000309317347962541,True
MT,MRI-ESM2-0,40.72231628429162,41.66460423057431,2.313935041671909,0.11982057645066169,0.48822018586329735,0.0007748577621744823,True
NL,ACCESS-CM2,4176.243063263532,4632.405627204066,10.922797285272585,0.0874575980303784,0.4801199040357178,1.6476453144945973e-12,True
NL,CanESM5,4549.599490389651,4774.193538383124,4.936567459792775,0.5240616156324673,0.04724303908537909,4.3448369353171005e-06,True
NL,CMCC-CM2-SR5,3077.1967239146657,3223.1704460569545,4.74372408523131,0.39147104909049096,0.24151725089874498,0.00027290651343458234,True
NL,CMCC-ESM2,3066.9816285517795,3156.961247429329,2.933816689343444,0.7709287066078117,0.36043825772626287,0.006043618833245622,True
NL,HadGEM3-GC31-LL,4240.369532431045,4744.903816717024,11.898356509431968,0.7144222914897502,0.8137034116965345,2.0215376106714438e-17,True
NL,HadGEM3-GC31-MM,4207.085390503235,4685.256220730125,11.365845611460072,0.3762867082703792,0.01578680379061307,1.6089050508540132e-18,True
NL,MRI-ESM2-0,3873.669440072438,3998.5813821233564,3.2246412344513935,0.10451089151766679,0.21989621597451614,0.001846842806605648,True
PL,ACCESS-CM2,35903.59678002092,40316.57502382327,12.291187066411185,0.9745819961931478,0.7222519979859541,2.172125002188579e-14,True
